name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
West Coast,Los Angeles,,,,,,,,N/A,No website,,osm
John Riordan,Los Angeles,,,,,,,,N/A,No website,,osm
Ray Blom Plumber,Los Angeles,,,,,,,,N/A,No website,,osm
Rick Campos,Los Angeles,,,,,,,,N/A,No website,,osm
JO-MI,Los Angeles,,,,,,,,N/A,No website,,osm
Heflin & Son,Los Angeles,CA,6212 West 87th Street,90045,,,,,N/A,No website,,osm
Miller Plumbing,Los Angeles,,,,,,,,N/A,No website,,osm
